epoch,score,n_estimators,max_depth,max_features
0,0.3438630529870173,300,45,0.750155786945339
41,0.3438630529870173,300,63,0.7558905024396588
45,0.3438630529870173,300,63,0.7101032303018591
46,0.3438630529870173,300,67,0.7126858442910355
52,0.3438630529870173,300,45,0.7152281640407984
56,0.3438630529870173,300,52,0.7161264648024255
57,0.3438630529870173,300,54,0.7303745249082436
59,0.3438630529870173,300,52,0.7546878660236785
65,0.3438630529870173,300,61,0.7118383695687394
66,0.3438630529870173,300,43,0.7164955787334568
69,0.3438630529870173,300,64,0.7589666110987334
34,0.3438630529870173,300,63,0.722804397386715
71,0.3438630529870173,300,45,0.7215728330433411
75,0.3438630529870173,300,41,0.7295897952228416
78,0.3438630529870173,300,63,0.7385731198340635
80,0.3438630529870173,300,52,0.7124200519540518
82,0.3438630529870173,300,41,0.7209589057172986
85,0.3438630529870173,300,52,0.7428826362879888
88,0.3438630529870173,300,43,0.7458619281790961
89,0.3438630529870173,300,54,0.7380295057349405
92,0.3438630529870173,300,53,0.7329442975950269
94,0.3438630529870173,300,53,0.7448642093638231
97,0.3438630529870173,300,66,0.7458280154988045
74,0.3438630529870173,300,42,0.7136857263807198
27,0.3438630529870173,300,67,0.7614435511994664
49,0.3438630529870173,300,55,0.7319778405393086
99,0.3438630529870173,300,49,0.7195725580996691
24,0.3438630529870173,300,41,0.7268173441465299
1,0.3438630529870173,300,42,0.7584070964412384
13,0.3438630529870173,300,46,0.7510926107020985
7,0.3438630529870173,300,51,0.7417265164859407
15,0.3438630529870173,300,45,0.7369171881678476
18,0.3438630529870173,300,51,0.7259094378424502
23,0.3438630529870173,300,48,0.7178838832881936
21,0.3438630529870173,300,61,0.738994498151085
3,0.3438630529870173,300,58,0.7398244080760084
79,0.34386305298701736,300,54,0.720495688537499
19,0.34386305298701736,300,46,0.7476138701438187
98,0.34386305298701736,300,41,0.7301855258803869
22,0.34386305298701736,300,54,0.7539856035373033
76,0.34386305298701736,300,69,0.7164104821864927
93,0.3439625813139444,300,46,0.7924954889324719
73,0.3439625813139444,300,40,0.7757526608881641
72,0.3439625813139444,300,61,0.7940657395151361
12,0.3439625813139444,300,43,0.7984866838108564
28,0.3439625813139444,300,44,0.7774752300103592
30,0.3439625813139444,300,55,0.7887727175699634
81,0.3439625813139444,300,62,0.7731326033528314
32,0.3439625813139444,300,44,0.7963978609392484
25,0.3439625813139444,300,66,0.7785062364157352
61,0.3439625813139444,300,58,0.7779022549175205
6,0.3439625813139444,300,61,0.7806587592305504
86,0.3439625813139444,300,63,0.7970844470334262
40,0.3439625813139444,300,50,0.7727464902830152
17,0.3439625813139444,300,69,0.7710902808767902
33,0.3439625813139444,300,69,0.7902957798460517
87,0.3439625813139444,300,51,0.7805814782952516
5,0.3439625813139444,300,66,0.768308705594596
53,0.3439625813139444,300,60,0.7703856531913365
35,0.3439625813139444,300,59,0.7974226639578117
77,0.3439625813139444,300,58,0.7676066756119713
90,0.3439625813139444,300,55,0.7734397426854689
95,0.3439625813139444,300,55,0.796867024904003
42,0.3439625813139444,300,50,0.778356364339422
91,0.3439625813139444,300,43,0.7818575803407408
55,0.3439625813139444,300,68,0.787391714650879
47,0.3439625813139444,300,58,0.7830726109665809
43,0.3439625813139444,300,61,0.7845793785648595
20,0.3439625813139444,300,47,0.7693448243624984
37,0.3439625813139444,300,54,0.7880679752106657
9,0.3442861990603253,300,67,0.7009419048479065
96,0.3442861990603253,300,61,0.7026537943994245
8,0.3442861990603253,300,48,0.6975291972839692
83,0.3442861990603253,300,52,0.6773593049849707
84,0.3442861990603253,300,57,0.6963503419180967
2,0.3442861990603253,300,51,0.6931544240563068
4,0.3442861990603253,300,41,0.6697911508668889
26,0.3442861990603253,300,55,0.6941764474474821
11,0.3442861990603253,300,41,0.6727581789650608
29,0.3442861990603253,300,57,0.6631828957554767
31,0.3442861990603253,300,65,0.694188277071559
36,0.3442861990603253,300,52,0.6930850804091658
38,0.3442861990603253,300,50,0.6586304513011786
44,0.3442861990603253,300,58,0.6672170603653382
48,0.3442861990603253,300,42,0.683113867746086
50,0.3442861990603253,300,40,0.692787392784181
51,0.3442861990603253,300,45,0.7015531072524579
54,0.3442861990603253,300,61,0.695933618777009
16,0.3442861990603253,300,44,0.7051747629689866
60,0.3442861990603253,300,46,0.6764833743392524
63,0.3442861990603253,300,55,0.6527154000122255
64,0.3442861990603253,300,58,0.6765018370494404
14,0.3442861990603253,300,63,0.6852321132686188
67,0.3442861990603253,300,66,0.667170740659401
68,0.3442861990603253,300,40,0.6616071533423087
70,0.3442861990603253,300,58,0.6640914122090469
58,0.3442861990603253,300,62,0.66965572105597
62,0.3442861990603253,300,46,0.703738671004703
10,0.34428619906032537,300,45,0.6613231805787323
39,0.34428619906032537,300,64,0.6923904201463384
